lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
92892,29227,5911,0.00015297,0.23,415318,39742536,22950,49584,23075
12871,12566,48371,0.00078778,0.1,127428,60786423,39145,47300,67548
136773,60533,4472,0.00002088,0.13,172872,35191674,21816,8839,20734
12971,33483,15175,0.00182521,0.13,792721,66058274,19275,27075,69629
77879,63025,11611,0.00013363,0.05,655911,36592561,37782,29292,75373
41815,28148,4767,0.02533638,0.3,29821998,40258047,207516,247776,718715
115202,59641,6193,0.00160539,0.03,11030405,11082500,212349,97268,466523
50522,8252,10560,0.00296184,0.05,1234850,4357242,22221,36522,73017
35557,50527,33258,0.02533638,0.005,45519939,8402353,2244357,174933,7688832
73339,16870,16588,0.00182521,0.23,2258237,64363645,84968,226839,212262
9299,41487,5783,0.00078778,0.25,303943,59988259,5219,7832,12612
86521,33964,16898,0.00370564,0.1,10889559,57393292,421135,332223,1059022
7293,88117,3594,0.00015297,0.15,98310,47505746,3821,3486,5971
26691,23258,14148,0.00041097,0.03,255133,9872247,14114,7660,28946
98066,41967,4088,0.00082282,0.23,3386379,39465343,48364,79696,90221
116613,13871,7347,0.00082185,0.07,1329414,7134207,25648,48013,70933
146723,50138,9134,0.00031941,0.13,2349750,59535716,86127,179105,172021
12390,12503,17078,0.00056263,0.15,87166,32030299,17567,12458,18269
48349,27792,27748,0.00082185,0.07,1104360,53983736,71581,126592,199104
88274,73012,4168,0.00015297,0.2,985914,60871976,10803,41958,32050
146067,6562,7358,0.00002483,0.25,23801,12072634,10154,3023,11790
105587,27508,4739,0.00078778,0.07,2288163,9126957,28367,46523,74781
81464,7120,25173,0.00491597,0.05,2851458,8961824,128913,175920,404195
125857,42282,11878,0.00108175,0.13,5756540,65294101,242265,279746,490901
128261,9592,15190,0.00034241,0.27,421271,39342141,40058,128722,66028
25669,4966,8747,0.00082185,0.2,104775,8688468,4782,12479,9104
102238,46444,5011,0.00108175,0.2,5136538,46554403,82738,110177,169766
40058,38153,33365,0.00108175,0.005,1653316,6365225,88492,19656,315380
22717,23456,9074,0.00078778,0.27,419776,57471245,30435,34994,23537
130451,3348,5445,0.00056263,0.27,245799,4923828,8656,25765,15951
51667,59315,34324,0.00296184,0.01,9077075,20359700,506844,167222,1645889
35930,18510,43427,0.00108175,0.05,719456,40193270,67415,113626,195502
102296,49130,19240,0.00082487,0.001,4145695,945278,204505,5284,532528
10672,69703,3104,0.02533638,0.27,18847451,58433424,78802,98574,296070
64621,50363,25942,0.00296184,0.03,9639487,39196463,425480,230110,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,31389,20828,28563
80022,60627,9037,0.00019487,0.1,945424,54794058,43397,76519,83184
44171,76085,461,0.00296184,0.3,9954267,10531483,7240,11527,24159
90671,14282,15507,0.00001651,0.2,21380,44297385,19951,5388,23697
78709,24244,14016,0.00008429,0.05,160849,16991946,21235,13283,35467
63788,71216,18054,0.00182521,0.03,8291531,38574127,267031,166723,819427
97165,68569,4654,0.00296184,0.15,19733663,47874562,224517,190954,555238
89490,74614,2024,0.00952101,0.001,63574769,151024,291891,20373,740885
58210,37778,9183,0.00108175,0.03,2378882,10408478,40075,43297,126355
114059,34686,11559,0.00015297,0.05,605203,20048095,33545,28881,72446
31683,32508,6174,0.00015297,0.17,157556,34122834,4775,9600,9435
72822,57831,14154,0.00031941,0.07,1345182,57301813,62342,104483,143247
2739,78424,15866,0.00018467,0.05,39677,62217421,11033,3192,16014
84935,12015,13964,0.00001651,0.23,16848,38591061,22964,4176,18406
6103,20251,12405,0.00296184,0.27,366104,67833284,7851,14390,26794
65858,3776,26687,0.00078778,0.27,195927,27211303,29747,93396,47443
38914,15694,4996,0.01084252,0.3,6622177,23528295,50011,73489,176390
44704,5811,14677,0.00108175,0.17,281051,14501473,12487,43810,30158
66823,75696,25692,0.00163948,0.03,8293048,58345779,387678,258484,1175183
74994,27738,25355,0.00082185,0.05,1709621,35165355,92243,148103,269087
135355,38202,11339,0.00056263,0.07,2909288,30324708,117395,155019,262164
66726,22607,1330,0.00163948,0.13,2473191,3910963,7157,13739,18964
36799,5092,43610,0.00047003,0.03,88077,6662024,21095,9040,39511
44946,23862,10346,0.00013363,0.05,143321,12345012,12664,5487,18527
129648,25185,11868,0.00082185,0.17,2683583,50813846,114832,232249,243811
142307,8033,2625,0.00163948,0.27,1874270,5695502,15165,49099,36543
57597,63238,755,0.00078778,0.3,2869437,14330699,3797,9590,12643
126922,57792,10927,0.00108175,0.005,7934737,3157595,285741,35739,633867
124800,17746,12206,0.00082185,0.15,1820176,32491617,71700,180211,166687
136659,27940,12162,0.00296184,0.15,11309213,50973075,501174,394792,965549
78162,24539,11588,0.00082282,0.13,1578228,36970027,41478,119068,112382
149955,36504,9381,0.00002483,0.2,135920,68490979,43214,20717,37097
12643,99596,2325,0.00041097,0.13,517516,30104139,4775,4143,10349
36139,72013,4378,0.00041097,0.03,1069560,9458446,10387,9574,30334
63775,44774,6798,0.00008429,0.17,240692,51750197,8215,19747,12405
148354,99024,4604,0.00370564,0.13,54438984,59269117,943274,466170,1866179
54699,76215,798,0.00491597,0.17,20494607,10346173,25478,24194,88026
113043,41077,3683,0.00047003,0.03,2182611,4539368,21629,18262,60673
66980,36237,9185,0.00082487,0.13,2002126,43272073,48177,90976,109094
141073,28126,2326,0.00160539,0.005,6369983,327166,52735,5104,114109
149793,78568,2030,0.00082487,0.17,9707925,27118251,86853,76822,151349
23140,8628,35039,0.00370564,0.2,739906,60468002,46308,135775,145361
37092,15365,48284,0.00001651,0.07,9409,51934231,38043,3064,45723
53386,9774,22227,0.00001651,0.27,8615,58664254,20011,4190,32430
105119,8191,8952,0.00108175,0.15,931427,10999742,23168,78388,61382
100983,44691,9699,0.00082282,0.07,3713475,30343085,97746,135842,250694
143676,14415,5210,0.00082487,0.17,1708472,12770319,26564,86582,68873
117913,8575,11004,0.00019487,0.15,197035,14154596,18374,26809,32273
143129,14578,12341,0.00015297,0.23,319183,41380938,37084,81732,53149
74042,43256,5628,0.01084252,0.27,34726753,65739047,347495,468606,1085329
132476,27494,4938,0.00019487,0.2,709797,27158635,21340,51941,31707
148584,39440,1374,0.00018467,0.15,1082204,8132810,6642,18269,12597
55773,16286,14336,0.00041097,0.1,373319,23350367,19313,39790,46452
99970,39586,20225,0.00013363,0.005,528846,4003415,42402,3823,103302
126823,88859,2657,0.00163948,0.15,18476023,35422494,182056,114249,366042
61976,26432,5920,0.00047003,0.2,769992,31299575,20813,46613,29937
138522,71083,4335,0.00056263,0.2,5540010,61642556,79770,141877,183202
112945,18830,13819,0.00163948,0.001,3486790,260221,121657,3001,332038
67946,1906,17897,0.02533638,0.2,3281547,6823200,87499,181142,314589
84008,18577,1006,0.02533638,0.2,39540932,3740510,73877,68760,85715
20418,11968,27891,0.00082185,0.2,200845,66765881,37855,63946,38350
30333,14254,14880,0.00041097,0.25,177699,53028812,7381,43953,20434
49759,2614,21492,0.00082487,0.17,107315,9552833,13002,26405,25545
86839,13389,21867,0.01084252,0.03,12607482,8784267,588059,253348,1588297
23962,71633,21505,0.00056263,0.03,965770,46214520,46116,47498,154104
27872,33660,4176,0.00860544,0.3,8073829,42171004,47880,71722,177573
119534,14986,296,0.00952101,0.15,17056374,665588,14152,10109,34260
13499,38946,34963,0.00082487,0.005,433667,6808399,40469,7348,105920
139920,39416,1928,0.00019487,0.2,1074756,15202048,9523,27114,18082
118113,63168,1877,0.00491597,0.27,36678218,32014833,204898,196682,485962
38901,3854,43891,0.00108175,0.3,162196,50751830,38007,130032,28175
116768,68224,6487,0.00491597,0.07,39163128,30982527,753570,223395,1713565
52392,2000,17644,0.02533638,0.2,2655227,7058675,65572,137324,248432
143170,72851,5332,0.00015297,0.13,1595504,50497653,44382,76801,73901
38557,54026,22112,0.00018467,0.03,384695,35840441,44877,19868,49721
84614,4018,3725,0.00160539,0.3,545845,4491306,6613,29914,14793
44485,16752,5113,0.00018467,0.3,137625,25701076,12345,12894,11983
62792,45902,1805,0.00041097,0.3,1184551,24861976,4206,17457,19173
67996,55908,12112,0.00296184,0.05,11259707,33859293,239740,164522,758334
95682,28543,1972,0.00047003,0.23,1283700,12948869,5568,23495,17927
49881,6891,20796,0.00082487,0.17,283538,24362044,24131,66033,46137
12352,12468,17608,0.02533638,0.17,3902395,37324854,94922,102809,356481
11199,26434,11001,0.02533638,0.13,7500968,37806953,101110,78366,438272
51832,91023,2937,0.00019487,0.13,919394,34762377,7254,16514,19434
62262,12569,11875,0.00108175,0.005,846595,746346,20556,3183,63086
143052,52536,2399,0.00078778,0.07,5920522,8823825,54997,47971,117440
80027,15153,11376,0.00078778,0.2,955350,34478646,35624,109140,71745
115963,36450,9188,0.00015297,0.2,646590,66987116,31639,115555,54605
41430,11930,28171,0.00002088,0.2,10320,67221162,34839,4985,27315
41846,72699,6721,0.00370564,0.01,11273405,4886774,115867,34504,414479
37623,1710,39221,0.00108175,0.3,69604,20122893,17875,53721,30502
111901,76334,779,0.00056263,0.23,4805928,13678481,10459,22076,28108
79686,60914,10077,0.00296184,0.07,14377050,42971935,283880,193091,813244
62280,73458,2207,0.00078778,0.15,3604136,24327889,13601,31552,46710
22104,24818,5378,0.00182521,0.25,1001316,33370838,7720,17757,37967
121480,16530,4479,0.00108175,0.23,2172316,17030235,29544,84578,72429
22778,10815,19643,0.00056263,0.13,138607,27618796,13860,28763,26196
23703,22268,4497,0.00078778,0.15,415822,15023582,4190,10299,12420
81401,45610,6643,0.00108175,0.17,4016255,51508589,69294,105952,159583
16040,39396,27507,0.00952101,0.001,6016511,1083671,235257,11554,881754
4161,12489,19123,0.01084252,0.17,563597,40603716,14011,18523,59470
110866,73534,17656,0.00182521,0.01,14880151,12983882,755860,181982,1820858
99144,97504,3991,0.00163948,0.15,15848898,58377287,158802,131483,399966
52305,19935,7537,0.00296184,0.17,3088399,25546284,44282,70912,127442
66190,3277,16927,0.00082282,0.15,178484,8321213,14209,33036,28233
12228,10281,22617,0.00013363,0.23,16801,53483788,19699,6471,6127
144319,38023,7918,0.00860544,0.005,47222253,1505374,1234024,106462,2630790
89931,29792,8757,0.00860544,0.23,23056524,60007616,486978,477102,1194768
51594,92721,20107,0.00296184,0.01,14169019,18644313,477089,128927,1550798
54986,14587,17892,0.00013363,0.15,107182,39148904,19998,26793,30547
84555,83918,22255,0.00182521,0.03,12951257,56030479,648800,306278,1733734
114116,19946,2585,0.00160539,0.27,3654144,13923102,28996,55910,73057
71630,54634,1408,0.00296184,0.3,11591069,23091874,28668,49367,93014
18829,7341,36671,0.02533638,0.25,3502645,67309410,182188,247841,666427
26889,71999,9831,0.00370564,0.01,7174091,7078480,106373,29793,378972
128577,13435,1547,0.00860544,0.23,14865353,4781979,69849,59866,154137
94579,26926,7130,0.00182521,0.27,4648272,51843188,96287,158399,210221
89300,62672,2675,0.00370564,0.2,20739217,33537183,152981,126078,344275
99044,73254,1425,0.00296184,0.15,21489714,15659006,79985,60919,197743
9399,66337,15140,0.00013363,0.03,83327,30132156,13616,3220,19768
87206,11318,3155,0.00160539,0.25,1584568,8930147,12204,39491,31902
50934,66250,15893,0.00491597,0.03,16588394,31588707,415649,166783,1429942
74758,70969,1479,0.00031941,0.15,1694668,15753736,5916,20893,17385
86717,41736,3127,0.00078778,0.13,2851196,16971095,25575,44749,57095
134963,50115,3152,0.00018467,0.15,1249062,23699508,18037,40413,33561
46242,36529,1934,0.00082282,0.2,1389925,14131215,4796,13070,16240
119596,15184,2537,0.00952101,0.17,17289871,6549136,130484,107167,296533
39751,9041,20031,0.00018467,0.2,66377,36224403,18206,25557,24320
74861,3761,13194,0.00082282,0.13,231685,6451839,12848,28764,27256
50024,20037,8913,0.00182521,0.27,1829576,48222376,38775,84144,91616
77588,7012,13176,0.00108175,0.17,588548,15707328,22254,76503,54712
121993,53221,11925,0.00019487,0.005,1265219,3173431,46833,5798,128483
126989,67460,7212,0.00041097,0.13,3520680,63253426,102350,142897,199807
115832,21498,17887,0.00108175,0.15,2693822,57682133,149099,304753,337909
51310,66327,13468,0.00008429,0.07,286863,62532293,39139,33783,60193
131972,55300,2384,0.00008429,0.25,615158,32968910,16749,32219,14840
13603,10089,26357,0.00008429,0.15,11568,39888940,3757,3763,6336
8877,3484,43992,0.00031941,0.3,9881,45990272,19359,8109,16409
27624,52458,15862,0.00163948,0.005,2375820,4160472,59642,13549,216479
113491,42518,3849,0.00163948,0.2,7911293,32733423,102140,113186,210519
50762,86228,9706,0.01084252,0.0005,47459485,418503,723059,11979,2416551
27348,47832,5357,0.00082487,0.17,1079063,43565662,10260,21240,44795
145187,329,915,0.02533638,0.07,1213491,21132,3463,4018,3525
37622,36955,6996,0.00163948,0.15,2279445,38783402,23146,48353,89328
42382,53674,3279,0.00056263,0.2,1279906,35208943,7634,18861,33676
16099,54215,4437,0.00034241,0.17,298866,40895601,5164,7928,10965
87665,48729,17510,0.00296184,0.0005,12652686,426640,495255,9790,1316121
81183,42831,5905,0.00082185,0.05,2857768,12647276,38783,50413,108422
13215,37014,43155,0.00370564,0.01,1812736,15973788,113954,46605,432817
58665,5597,29984,0.02533638,0.15,8319487,25174495,390087,403301,1315589
45905,49663,2602,0.00082487,0.15,1880558,19387924,7732,16608,28578
119068,16505,16260,0.00108175,0.13,2126011,34892418,100324,232630,252763
37912,55799,16428,0.00041097,0.03,869404,27501373,31704,35274,102659
29273,47975,30238,0.00018467,0.01,259353,14507068,40627,9360,78623
65650,18087,19824,0.00491597,0.05,5837537,17929190,198283,176750,630627
94087,88687,10808,0.00082185,0.07,6857851,67103577,203999,207818,476947
108444,591,18014,0.01084252,0.1,694959,1064736,32534,66910,88239
25990,4298,32818,0.00019487,0.27,21773,38093822,21544,20527,26381
141815,72084,4985,0.00182521,0.15,18658731,53907250,362039,228512,680403
81769,27614,21821,0.00160539,0.05,3624945,30128791,156855,189688,470356
113223,10018,11357,0.00082487,0.23,935663,26169939,37470,138725,79329
45618,54388,7874,0.01084252,0.07,26901567,29979312,330980,141955,1080030
63894,38439,4471,0.00860544,0.27,21135422,46407078,169961,211908,486512
106923,44899,8525,0.01084252,0.15,52052697,57416751,1184739,712082,2760805
37515,49256,17206,0.00082282,0.07,1520477,59327094,64578,82099,175401
57221,61539,20390,0.00182521,0.005,6427228,6274107,214583,48037,705863
73918,20432,14602,0.00108175,0.05,1633797,14918346,47641,78164,143737
32352,73752,28061,0.00163948,0.01,3911935,20695721,174420,75940,594605
19053,5909,27521,0.00031941,0.17,35965,27650357,15847,10775,16635
142193,76384,6370,0.00001651,0.07,179321,34060442,26112,14944,27202
53503,57268,1850,0.00860544,0.3,26367431,31798087,72508,107265,250221
93935,73922,13905,0.00034241,0.005,2377694,5139488,77431,14305,228101
18107,12950,22537,0.00015297,0.23,35872,67129085,33063,26974,9846
1882,96408,20517,0.00082282,0.03,149344,59340961,27235,4887,42025
111945,49638,6764,0.01084252,0.01,60249528,3357904,1071806,134543,2551712
38161,17898,18304,0.00056263,0.15,384302,49144312,33311,62884,46874
23590,50019,790,0.01084252,0.3,12793700,11868472,13706,21601,51898
44607,19677,39166,0.00952101,0.005,8357244,3853527,477671,92943,1688947
25512,3189,29064,0.02533638,0.03,2061768,2781105,73782,61628,304982
69020,29619,10640,0.00160539,0.05,3281969,15758694,63950,82509,198465
11367,36617,26881,0.00041097,0.01,171068,9843198,20275,3148,45305
46820,35088,10000,0.00056263,0.13,924313,45617340,16832,59092,56663
38268,81011,14807,0.00047003,0.03,1457165,35986213,43058,46217,147897
132093,55926,7122,0.00082282,0.15,6078625,59750458,160321,201807,326035
51899,68702,24643,0.00082487,0.005,2941198,8465346,121013,27109,413429
18531,49721,8755,0.00056263,0.07,518413,30473466,10840,15634,30314
100503,41730,17765,0.00082282,0.001,3450970,741384,145298,3884,407447
124443,1564,13001,0.00860544,0.13,1675223,2644071,49398,135082,147560
534,13928,46240,0.00078778,0.1,5865,64406972,3492,3056,6862
54171,69049,4887,0.00952101,0.2,35613115,67501922,300309,263237,889858
77181,35387,4599,0.00015297,0.13,417799,21158611,14238,16480,24822
107023,12778,6673,0.01084252,0.23,14828725,19615203,249153,264912,603895
26151,48158,4480,0.00370564,0.005,4666996,1078821,28736,5921,110020
5039,15645,35277,0.00082282,0.1,64872,55191732,10211,12864,20941
6114,42664,21141,0.00370564,0.07,966637,63139837,32353,23173,116566
142799,91268,3641,0.00019487,0.2,2539749,66471738,54365,86090,72686
20374,10310,31417,0.00018467,0.05,38792,16196325,15377,4131,19563
66970,42015,17454,0.00034241,0.07,963482,51334084,56459,82683,125932
90343,3655,18815,0.00108175,0.2,357278,13757150,25967,82586,54877
91534,90483,8372,0.00056263,0.005,4659902,3787658,93334,14965,255064
89398,60028,20137,0.00952101,0.0005,51094075,604412,2301706,36508,5881714
96832,17872,6773,0.00082487,0.15,1427529,18159347,27585,84182,66658
128372,79220,6917,0.00047003,0.03,4780060,16440271,108521,73866,257517
88618,85186,4158,0.00082282,0.005,6211553,1771071,61762,11797,162813
112303,45995,9913,0.00002088,0.1,107854,45596748,31746,19662,39521
60438,8929,15095,0.00108175,0.27,583790,36393207,31308,108581,56248
42770,49462,28457,0.01084252,0.01,22937950,14076127,952512,169504,3363121
13828,42270,43148,0.01084252,0.0005,6337939,911958,357296,9830,1418460
136012,27908,6746,0.00047003,0.3,1784207,56486517,53072,136643,91244
78999,60750,8504,0.00182521,0.01,8759666,5166703,139352,50558,419761
16672,417,36969,0.00491597,0.15,34197,2313742,5789,11547,10632
75568,16383,12784,0.00047003,0.2,581926,41891097,35713,92044,51877
97236,43938,16814,0.00019487,0.07,832563,51714974,58528,102600,127733
59960,96891,15808,0.00013363,0.03,776342,45951036,55975,38133,95269
35846,61657,3717,0.00031941,0.15,705954,34379891,6199,15624,17634
68113,13437,20825,0.00041097,0.17,376160,47574732,31145,108063,64370
50356,4068,16876,0.00041097,0.25,84193,17164582,11223,24212,21847
119923,10303,10249,0.00491597,0.13,6074116,13728464,174131,194588,407121
20934,24889,3564,0.00160539,0.13,836506,11532585,5053,12540,17103
132120,96192,6405,0.00001651,0.05,209826,30806895,27659,6377,35291
10790,12194,40234,0.00018467,0.13,24300,63785073,7522,8820,12896
12772,39884,13684,0.00370564,0.005,1887745,2729065,34251,9068,139591
2722,44253,7025,0.00182521,0.15,219888,46638421,6079,4172,13020
105590,56113,7015,0.00082282,0.01,4875209,3936776,100157,30323,234804
142072,17946,11968,0.00082487,0.2,2103129,42957373,86842,232804,196380
70048,28008,26539,0.00082185,0.05,1612399,37166650,91896,152568,268499
100808,17638,14925,0.00082282,0.2,1463054,52651214,58711,209877,153153
84676,19530,17106,0.00108175,0.2,1788961,66819509,86451,224688,191595
129536,95059,1952,0.00078778,0.17,9700462,31551020,81077,72505,141395
65163,9342,6235,0.00082282,0.03,500927,1747705,8758,7724,22300
59101,62115,32953,0.00860544,0.0005,31591547,1023447,1649608,33283,5528475
58225,64324,30532,0.00860544,0.03,32230464,58919556,1607057,435324,5270161
50680,25677,28317,0.00491597,0.01,6397329,7271102,286378,104325,971569
138502,70304,8703,0.00163948,0.03,15964237,18356833,515629,178173,1024345
73213,32765,17356,0.00078778,0.07,1889801,39808269,75464,145838,211421
35614,57724,23989,0.00019487,0.03,400623,41543475,49675,30970,97253
52019,19591,23435,0.00296184,0.01,3018553,4591472,110283,47088,389523
137556,87265,2160,0.00041097,0.05,4933228,9425754,41634,34261,90963
91220,60873,7368,0.00002483,0.15,137880,67281482,39264,35082,31207
146306,88028,7276,0.00008429,0.01,1085579,6405159,31628,8953,80415
14556,57246,26971,0.00370564,0.03,3087915,46321340,119398,61188,478572
67585,15411,9898,0.00108175,0.01,1126733,1525502,22320,8385,68994
32462,15191,13139,0.00163948,0.27,808537,53896833,36464,69020,62002
28228,11045,15236,0.00041097,0.2,128145,33659647,18305,30814,9310
29927,62586,11380,0.00182521,0.01,3418698,7122438,57735,24762,222732
8790,21008,5266,0.00370564,0.13,684341,14382335,5246,6484,20631
71474,69560,20116,0.01084252,0.03,53906672,41978567,1798061,425777,5826298
62685,8764,21359,0.00860544,0.3,4728119,56165045,177777,356487,545355
57949,5272,7868,0.00082185,0.25,251103,10371988,8206,30776,17656
89753,32138,1992,0.00041097,0.17,1185455,10883853,9925,21734,16821
131054,99310,12348,0.00082282,0.0005,10709064,613151,448522,4571,980413
2914,11502,8793,0.00952101,0.07,319125,7080480,4703,3388,16147
16321,5681,20462,0.00108175,0.25,100302,29062590,15467,30216,14380
81075,61396,2998,0.00952101,0.25,47393391,46026855,250958,299355,773234
121477,76645,4221,0.00108175,0.2,10071912,64704944,165724,174168,302937
52831,44990,2389,0.00952101,0.005,22630667,537523,86739,10885,285933
31675,6269,42255,0.01084252,0.17,2153149,45035833,134080,235241,485021
74301,63567,7783,0.00056263,0.005,2657414,2473820,40650,9281,128294
13665,51673,35578,0.00296184,0.001,2091471,1838479,110533,5071,420901
94363,5230,18546,0.00082282,0.05,406121,4850452,27563,29114,63263
8068,7164,27509,0.00056263,0.3,32525,59128652,24973,25835,8501
28048,74855,22865,0.00041097,0.03,862884,51349575,48293,61197,133965
22323,42565,16360,0.00041097,0.01,390512,6964035,21933,4748,50508
39622,7533,18033,0.00860544,0.23,2568732,31246910,75367,128306,248510
129932,33956,3780,0.00952101,0.2,42007014,25671601,494074,353994,1095505
74912,1334,3484,0.00160539,0.27,160485,1255295,3318,9640,5948
5281,11567,38852,0.00047003,0.13,28713,58422940,6993,9063,34358
33516,14747,19335,0.00108175,0.17,534712,48476577,27566,86110,63813
114172,84698,4706,0.00031941,0.13,3088770,51822721,38351,93321,108783
51159,22716,2259,0.00160539,0.27,1865687,13857905,6611,19250,23568
95780,10019,13673,0.00860544,0.2,8258001,27398640,276399,335815,686060
29145,26837,12010,0.00002483,0.2,19422,64466532,31862,4995,32500
19262,19661,44929,0.00041097,0.03,155648,26502292,34451,14889,67751
116600,39982,10365,0.00002483,0.13,115757,53874609,38206,13211,33881
43985,51149,5612,0.00019487,0.2,438430,57413097,31485,23857,31085
5833,13106,13574,0.00078778,0.23,60230,40921165,3561,8375,7691
42872,36656,45279,0.00108175,0.03,1700014,49793592,143105,165789,461942
44532,42425,24016,0.00082282,0.01,1554564,10188931,67842,28841,225478
63829,65265,2883,0.00078778,0.2,3281826,37639716,16468,35894,55405
37478,44058,20620,0.00163948,0.05,2707214,45424658,100540,119852,331238
78377,82115,5569,0.00000464,0.15,29862,68598327,6255,3571,8498
12771,2864,41620,0.00370564,0.05,135589,5961984,12526,19361,35753
43277,34415,10719,0.00002088,0.17,31099,62713614,6385,5309,9520
74690,89120,1325,0.00952101,0.3,63375803,35445931,137558,203002,447124
28925,32171,1179,0.02533638,0.25,23577756,9490568,40251,42091,143374
27798,99771,1086,0.00082185,0.15,2279420,16265520,5230,5436,14776
92588,76143,8287,0.00370564,0.01,26124739,6310421,512561,103475,1310437
19873,25286,15199,0.00082487,0.01,414516,3843351,15450,4286,42413
