lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
23958,30459,9786,0.00160539,0.0005,1171533,149043,1739,18166,327,1806,65802
93573,25256,1200,0.00018467,0.3,436441,9094265,130,1689,11108,167,4556
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,76241,1549,73181
111378,72781,427,0.00031941,0.1,2589238,3112395,294,2602,5080,105,7988
59952,21759,2384,0.00041097,0.001,536122,51888,78,3163,105,96,8762
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,4022,131,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,1439,31856,50312,437,47826
85283,55401,5954,0.00001651,0.13,78006,42884765,9518,22248,5405,9454,10935
88648,49392,11945,0.00296184,0.005,12968430,2949991,5332,339996,53227,2583,908915
70008,34309,14445,0.00056263,0.001,1351438,495625,2704,37703,1144,2828,120098
78717,99615,6291,0.00015297,0.05,1199504,31338809,8887,20561,33460,2524,67547
39049,43377,14025,0.00031941,0.03,541033,18252082,5988,25706,20547,5656,56943
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,412629,1615,1040685
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,167477,4597,346210
10758,50741,4283,0.00002483,0.0005,13554,108676,1394,1458,14,1397,2214
126899,52210,12948,0.00182521,0.07,12092788,47322584,14243,538814,309445,3329,1095508
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,18996,48,22902
132278,48224,8077,0.00047003,0.15,2998367,58429137,2873,91196,174315,1986,179515
17639,14561,16707,0.00160539,0.13,412379,31628398,7600,23214,36391,847,40532
131403,43733,7722,0.00008429,0.1,484397,33774444,7957,29621,34386,998,51936
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,116536,12620,1004111
87003,95285,15346,0.00182521,0.0005,15131430,731149,8915,518363,7771,8429,1384577
122724,61616,2796,0.00031941,0.3,2415325,51698106,2074,37265,65907,659,50682
74841,20268,16085,0.00047003,0.005,713008,1630128,2023,28133,3420,1925,78066
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,101564,1890,94968
10566,5335,13442,0.00013363,0.3,7534,21517895,774,1104,2349,163,2094
71329,11594,216,0.00082185,0.15,679696,375814,27,386,1104,18,990
62177,74537,22036,0.00082487,0.001,3822919,1642560,8192,142660,7235,8338,477252
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,188507,1085,134550
32231,80720,577,0.00160539,0.3,4176859,13985604,184,3975,6960,194,13110
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71795,2871,203576
1609,92929,20795,0.00860544,0.0005,1287247,966261,8859,52391,970,8888,163467
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,4244,11339,25102
91522,11923,20111,0.01084252,0.0005,11831944,119900,3039,537932,7852,310,1375666
49714,63275,30456,0.00000464,0.001,14595,1927119,8752,27714,68,8787,36816
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,6040,121,9778
1984,4188,24646,0.00018467,0.27,1535,27870926,1094,546,812,6525,1102
127563,20198,2442,0.00018467,0.0005,475808,24668,72,5620,52,110,12295
44293,66924,333,0.00031941,0.2,946823,4463286,131,762,1989,60,2047
22540,17971,26056,0.00041097,0.005,166477,2341351,2587,16210,1305,2699,35147
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,27410,252,26727
80348,24008,14712,0.00002483,0.13,47897,45919803,10382,29203,7599,10193,35508
83116,9119,5696,0.00015297,0.2,115948,10389143,544,6610,12743,284,11635
29735,25167,22174,0.00082282,0.1,615772,55808823,13127,24557,84354,2009,83378
2509,8267,27929,0.00082185,0.0005,17048,115445,1443,3294,22,1459,5952
28028,50464,6709,0.00047003,0.001,664830,338574,2005,11631,347,2051,30040
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,206628,203,669562
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,11047,560,14326
61905,48731,4252,0.00047003,0.005,1417981,1036045,1534,12748,2060,1540,37657
87267,52848,3087,0.00002088,0.001,96297,163188,731,5263,39,719,7065
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,20215,347,66162
49255,32636,13889,0.00491597,0.03,7902553,13599335,6269,178259,93289,2125,577927
42258,16391,1112,0.00182521,0.01,1264237,182419,46,2179,856,37,7926
8481,44708,6048,0.00078778,0.23,298728,62197325,2114,5911,8077,1404,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,33173,737,21563
66341,87385,9302,0.00001651,0.07,95713,56904020,14085,33930,6221,13112,40835
66173,57686,8764,0.00952101,0.13,36344782,65725864,22041,494480,375822,980,1661037
7297,11850,43501,0.00160539,0.03,138831,15465088,5091,15784,17138,5266,23733
5061,15877,14085,0.00013363,0.15,10739,33546064,1501,2091,1814,7498,3219
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,59694,937,49397
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,5466,2904,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,17268,403,9750
103198,28821,2863,0.00296184,0.001,8809386,82530,113,67354,1437,2676,158680
43659,47194,33980,0.00002088,0.03,43023,48110586,16138,45903,4012,14776,58407
14569,13356,16170,0.02533638,0.23,4930456,49677774,1722,121426,131364,445,402422
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,6438,2199,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,5640,2203,20928
19758,28427,18679,0.00078778,0.001,442480,531023,2853,18426,516,2908,53902
81348,588,14173,0.00491597,0.01,235532,83476,28,13654,1381,21,29384
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,367858,1563,1484124
47177,78811,6596,0.00019487,0.0005,724542,259940,2804,15381,219,2820,36320
106859,15350,569,0.00041097,0.05,674136,437283,45,1118,1319,30,3102
46367,11048,135,0.00491597,0.17,2518299,253986,24,552,862,16,1828
4057,67762,26834,0.00031941,0.01,87815,18184051,11173,23794,1733,11109,33773
43333,88804,1885,0.00002088,0.25,80349,41864390,1707,2356,3203,795,4409
33895,53317,26714,0.00370564,0.01,6696942,14243336,9908,280837,92404,7007,940945
46756,53769,7584,0.00160539,0.01,4036030,4078138,3177,50471,20217,3312,169611
98966,87945,14688,0.00370564,0.0005,32252780,645897,15404,1176893,20294,10230,2889740
124226,83003,2310,0.00370564,0.23,38209922,44118447,2102,312134,224158,442,627928
9619,43777,19845,0.00108175,0.001,455549,868786,4344,22841,654,4337,60811
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,13849,501,26545
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,150395,5345,335026
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,158641,324,373265
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,17247,591,35953
7082,51415,40783,0.00015297,0.005,55707,10484603,10986,25949,888,10904,39735
54135,41752,38273,0.00041097,0.001,928910,1598008,7508,77480,2403,7523,228251
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,12804,137,6871
32780,23130,17094,0.00000434,0.15,3290,59309957,13602,4995,978,2018,24787
125416,14326,3,0.01084252,0.1,19481042,4681,8,242,131,6,416
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,30888,930,29729
95437,99103,2109,0.00296184,0.25,28013575,52252550,1746,156278,155610,1094,349853
39597,80778,1805,0.00001651,0.2,52809,29176245,1448,1833,1766,763,2910
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,97186,368,96990
82848,70924,10716,0.00002483,0.005,145901,3800364,4140,21478,633,4104,28434
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,123332,2585,182304
78312,23565,7906,0.00015297,0.3,282301,55892512,2063,27884,49600,724,20260
25202,25620,6199,0.00082282,0.0005,531287,79412,1208,7202,122,1232,20378
34422,86478,23247,0.00163948,0.0005,4880418,1005186,9759,179926,3565,10006,620209
14144,5309,15737,0.00000434,0.27,325,22561902,846,10311,226,5912,1008
44358,16271,11685,0.00082487,0.005,595392,950746,1464,14507,2300,1474,44062
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,275059,7520,2508700
70658,18099,4270,0.00002088,0.001,26703,77287,353,3727,20,342,4804
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,8023,506,23679
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,111812,323,75733
10221,419,21333,0.00082282,0.01,3526,89447,29,2007,56,22,2234
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,137663,498,478550
70273,19995,29949,0.00056263,0.005,790577,2994283,3374,52735,9217,3370,155576
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,6741,5422,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,12332,5723,3722,1703,8607
60971,35514,27626,0.00000464,0.01,10047,9811375,6175,23910,416,6095,29026
6600,8834,39569,0.00015297,0.13,8920,45445522,9943,3843,3418,1782,24097
130616,24944,4186,0.00002088,0.1,68030,10442452,939,7763,2516,2727,10223
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,138693,13384,531111
52822,18225,38829,0.00000464,0.005,4467,3538562,3778,20375,104,3885,24010
139925,7761,5943,0.00182521,0.2,1982194,9226373,229,32392,98226,105,85717
99742,15952,1883,0.01084252,0.2,17252080,6010094,110,77389,63084,369,195418
8213,29864,12338,0.00860544,0.1,2110867,36848979,8753,31597,26626,8717,137046
148295,70586,10233,0.00008429,0.07,882313,50562229,12317,53066,81853,3552,106411
106369,78741,8068,0.00001651,0.01,138282,6353193,4036,18655,950,4092,25967
34773,1693,11903,0.00056263,0.001,33132,20159,35,4179,28,30,6550
102483,8370,9648,0.00000464,0.0005,3980,40382,362,7072,13,355,7036
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,258493,4139,1155489
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,70980,2378,151100
143150,93278,87,0.00034241,0.0005,4572144,4072,17,1409,36,13,3100
2642,15576,26398,0.00008429,0.15,3469,61676811,13214,2179,1659,13094,3552
88999,13706,10833,0.01084252,0.0005,13226192,74244,253,312668,3125,235,822523
145855,29838,5432,0.00034241,0.27,1490188,43763326,1661,37058,111561,605,65790
119691,59648,8692,0.00000464,0.0005,33126,259236,2737,13977,27,2749,18089
5045,25567,931,0.00860544,0.1,1110180,2381508,96,1414,1159,61,5623
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5305,25,13463
43568,87023,12162,0.00370564,0.005,14049825,5292307,8049,265570,52623,6560,898034
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,154983,1679,1035063
89197,17394,20382,0.00082185,0.0005,1275105,177266,2082,55530,626,2114,172556
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,115501,162,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,3650,3679,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,1478,10540,10112,783,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,63658,200,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,124723,181,152258
4425,2806,3070,0.02533638,0.15,314627,1292552,45,1134,1932,32,5014
87906,15292,10524,0.00860544,0.15,11568360,24140834,1473,264982,254112,580,696417
105169,78939,2704,0.00002088,0.23,173346,49111665,1671,23063,8876,10318,7369
32496,6653,19458,0.00031941,0.27,69056,34953644,1218,18635,28851,299,13626
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,18148,932,17815
89836,36122,107,0.00015297,0.01,496399,38889,17,226,130,12,478
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,94023,162,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,296666,570,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,175,42089,49837,297,137065
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,154166,1126,310728
94130,40069,19510,0.00018467,0.07,696528,54724088,13340,59630,80462,3791,130979
46606,75002,22719,0.00047003,0.001,1643041,1704005,8075,72908,2407,8209,228202
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,127754,14619,4720649
99321,47329,4093,0.00163948,0.17,7707002,32939353,1945,92154,107355,385,201379
20142,43299,10915,0.00108175,0.001,943484,472638,2570,18897,692,2586,62126
22290,3628,41455,0.00056263,0.27,45499,40608411,1561,23056,44552,534,19101
37323,42190,40215,0.00860544,0.03,13550901,50900603,19943,831271,242055,7956,2903080
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,135220,1092,152603
108176,10277,16847,0.02533638,0.01,28169438,1731551,330,1046768,195786,241,1219710
18623,36187,9617,0.00370564,0.15,2497381,52205458,12587,31280,41727,11893,130844
45554,44248,4608,0.00370564,0.23,7469617,46903538,1439,74242,80066,1068,195790
57621,24396,20707,0.00002088,0.03,29351,15155164,4840,21136,1433,4770,26717
63185,35864,30908,0.00034241,0.05,775950,55426907,15032,75389,104589,5371,180799
39684,35674,39856,0.02533638,0.0005,35870059,710931,12550,2049867,44884,10804,7503112
145742,7273,5457,0.00041097,0.15,435646,5954690,132,11524,27591,92,24668
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,49699,372,78718
62516,9071,33530,0.00031941,0.005,181142,1520859,1783,27333,2176,1911,57706
104687,62677,694,0.00031941,0.15,2095829,6529094,141,3692,9602,198,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,1447,6383,18750,636,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,63377,289,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,140,9024,27148,209,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,89916,2912,250530
2674,8224,46590,0.00000464,0.005,102,1915940,2293,1898,36,2562,3091
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,14781,33,12013
2006,23895,5687,0.00000434,0.23,208,31258000,1401,488,218,290,884
127421,28581,11899,0.00082185,0.2,2993060,68021844,2588,125348,274334,1777,268603
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,31954,13891,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,33049,319,26952
42031,2756,44667,0.00001651,0.005,1912,615653,586,12771,49,570,12966
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,3588,2449,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,10679,2684,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,89912,1360,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,490478,423,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,4281,5036,13501
57272,32313,4744,0.00082487,0.001,1526582,153298,1190,13916,483,1230,44144
113741,52296,7952,0.00000464,0.13,27600,54062954,12650,31803,3114,2111,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,106456,2918,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,10871,8783,1460959
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,354393,5666,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,2564,46393,17650,2245,144060
72079,1234,3739,0.00078778,0.01,70076,46150,20,2920,157,14,4650
10952,3956,8948,0.00001651,0.13,715,4602195,210,1890,114,154,2297
90302,41868,6013,0.00018467,0.005,698195,1258961,1732,13918,1582,1733,36181
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,34511,1319,38176
134395,43005,4828,0.00002088,0.25,120680,51907729,1736,25594,23945,430,20076
55019,25927,22439,0.00047003,0.001,670493,581801,3152,34083,1038,3171,100571
109214,23235,5850,0.00001651,0.0005,41896,67969,618,7451,21,615,9656
149203,49223,567,0.00002483,0.27,182358,7537001,113,1078,2096,103,3393
34264,81904,19554,0.00001651,0.001,46333,1601620,7439,22685,110,7647,31564
142067,99650,3320,0.00041097,0.13,5818115,43014289,2385,85335,89320,713,156235
35653,6548,47490,0.00000464,0.01,1083,3109841,2047,13345,69,2165,13457
128491,37633,503,0.00041097,0.1,1987310,1893656,73,2780,6004,61,7840
107692,15376,5400,0.00000434,0.3,7186,24912778,912,12887,1017,5439,8981
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,31053,663,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,79891,135,53723
36353,21627,4686,0.00182521,0.001,1435068,101355,908,10775,356,976,38269
39057,65714,5064,0.00002088,0.001,53592,332806,1911,6692,44,1921,9069
63893,98092,2131,0.00000434,0.3,27201,62710725,13637,2268,1969,1107,3724
51691,40676,21979,0.00491597,0.0005,10336477,447028,5503,357254,8025,5563,1185490
5706,26934,498,0.00491597,0.3,755606,4026252,150,616,979,44,995
16560,96414,1932,0.00002483,0.3,39645,55890336,2261,1355,2272,984,2287
129946,5515,621,0.00047003,0.23,336907,789059,32,1068,2839,41,2241
131355,2093,9379,0.00952101,0.03,2617806,588994,58,58983,44833,54,165750
12640,140,45958,0.00182521,0.13,3251,841882,37,4370,804,27,4864
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,25260,321,24623
79806,43266,11330,0.00160539,0.13,5543327,63733088,3309,139780,203480,2488,357598
134593,43061,8367,0.00108175,0.13,6269567,46841184,12142,188265,205587,1827,378241
63560,8853,14455,0.00002088,0.05,11749,6399018,1101,9641,622,2103,10929
1845,30962,44492,0.00952101,0.005,544057,6888066,7506,41238,5525,7210,141780
137127,18850,4795,0.00002088,0.13,53972,11750734,266,9416,2596,469,11346
21271,9831,27835,0.00001651,0.1,3452,27365508,6441,15338,883,6776,13209
47319,157,9674,0.00160539,0.23,12002,351561,26,3666,1264,16,4760
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,43913,477,155025
41029,74071,14479,0.00491597,0.03,14940441,32175416,13377,324280,98583,4829,1135680
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,266948,2428,3006991
118043,87390,12550,0.00182521,0.0005,18828527,548385,7886,706167,7686,7774,1589000
83322,26300,2170,0.00491597,0.25,10773141,14271019,582,48066,69791,439,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38387,1316,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,4762,1310,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,89502,1595,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,13104,360,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,29899,250,18511
70411,11972,24600,0.00013363,0.13,112654,38290496,8538,33516,39323,841,31380
45114,10492,24379,0.00491597,0.01,2327126,2558055,2032,80791,33352,1155,301658
41951,73668,1031,0.00002088,0.0005,64530,38008,341,1152,14,333,1630
117867,21275,9275,0.00018467,0.13,463104,25653800,1947,24610,45113,1823,49129
31046,27179,1834,0.00000434,0.2,3662,9974708,614,582,178,116,979
137034,91065,2431,0.00002088,0.27,260563,59785667,1865,29664,13050,1164,21612
90185,32471,5210,0.00047003,0.01,1376457,1691889,1377,17102,5592,1240,49944
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,303187,5499,1050434
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,38712,2337,112109
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,36210,1451,40757
20715,13469,20208,0.00002483,0.23,6928,62607935,13529,4109,2968,13057,5638
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,80420,1630,25462
124839,80742,12194,0.00000464,0.05,46770,49230041,13468,38662,3095,12209,49356
77031,584,19909,0.00491597,0.3,221416,3492264,97,17807,67919,40,34985
46389,21677,12584,0.00082185,0.17,826472,46376622,1925,34539,74011,709,62307
88987,57897,16601,0.00002483,0.03,127927,28835533,9691,37294,5342,9218,49450
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,93399,437,157782
17053,68211,9327,0.00078778,0.005,916381,3181257,3465,18480,2964,3587,53652
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,88137,1440,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,116223,234,472963
101995,21211,15495,0.00018467,0.15,399527,49303159,11033,43004,78032,1142,65043
29391,45554,31508,0.00163948,0.001,2195076,1435322,6961,100695,3973,6743,382150
6742,75973,24251,0.00002088,0.01,10695,18424868,11455,8254,328,12745,14174
1890,69055,1645,0.00013363,0.13,17441,14772155,390,700,357,536,1068
122872,7667,209,0.00163948,0.05,1544530,80229,20,775,1037,13,2289
105828,74577,396,0.00056263,0.2,4440503,5911526,107,4464,7926,109,12497
86877,14638,14200,0.00108175,0.001,1375721,207877,1483,41671,889,1502,124700
53857,9873,23597,0.00160539,0.13,853679,30288539,1575,45500,127934,1197,118489
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,121873,1095,284582
15769,27519,48905,0.00019487,0.01,84566,13458643,8385,33713,2855,8053,51239
60528,5350,3159,0.00182521,0.23,591139,3888820,75,4707,18552,100,13005
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,334234,2777,2927142
3325,56230,3560,0.00296184,0.23,553791,46047145,2134,4745,4584,1033,12925
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,351382,4737,1647627
109753,87959,416,0.00002483,0.03,239704,1100024,90,1165,288,115,1594
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,29220,1442,54496
81106,27977,18993,0.00013363,0.13,303222,69078256,15284,49948,76537,1707,79298
18876,4775,8721,0.00000464,0.3,418,12495083,170,930,154,117,1027
66337,2388,7620,0.00008429,0.23,13356,4186712,135,4400,1580,52,5450
224,50902,8959,0.00008429,0.15,962,68406475,14978,1692,412,16030,2315
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,262452,2054,895875
19523,934,25662,0.00056263,0.13,10266,3117975,86,4557,1979,63,6119
16165,37037,2804,0.00082282,0.2,492642,20774488,1066,2905,5642,548,8682
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,110950,311,193783
8093,11670,43230,0.00078778,0.07,74402,35315373,8447,24349,13571,8289,24778
70750,40157,28409,0.00008429,0.03,239480,34225737,11672,50324,16552,15863,84519
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,26522,5204,114418
81521,33249,22127,0.01084252,0.0005,29389118,367856,7998,1140998,26869,7319,3486157
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,125825,1291,58298
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,56863,223,38015
146154,1317,10067,0.00001651,0.17,3178,2254044,62,8959,361,43,8255
19306,38528,22318,0.00041097,0.05,305707,42994698,11792,21194,30542,10314,49972
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,13013,449,13536
110118,17517,11225,0.00008429,0.25,162597,49161767,2319,30558,40129,788,36449
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,92847,1264,96421
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,32010,781,34758
4301,38381,37946,0.00002483,0.0005,4099,728231,6853,8126,32,6798,12093
10,24130,2263,0.00034241,0.005,87,273120,154,199,16,113,325
62788,30689,7210,0.00001651,0.13,31813,28766562,6530,15984,2487,6511,18085
13984,6161,15339,0.00860544,0.3,741545,28355267,1049,24123,36579,246,59510
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,415586,1186,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,69247,8064,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,13500,390,13397
145291,29857,2164,0.00015297,0.25,663593,16158835,294,8402,27333,146,13778
73450,28696,2701,0.00296184,0.17,6242903,13178472,245,29427,47884,165,93451
13678,69478,997,0.00370564,0.13,3521622,9012222,209,4916,4875,554,18911
74969,30626,22209,0.00078778,0.0005,1808808,340099,3514,72574,1069,3592,241603
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,84849,178,124761
7931,65086,5899,0.00002088,0.01,10778,3840068,2410,1932,105,3015,3156
