lr,lc,lnnz,ld,lc.1,rc,rnnz,rd,minimum_latency,block_multiply_latency,bz_smsm,sp_smdm_todense,sp_smdm_multiply,sp_smdm,static_threshold_latency,proposed_system_latency
1134890,1134890,5975248,4.64E-06,1134890,10,10,8.80E-07,5,21295,5,20,436,456,5,21347
1134890,1134890,5975248,4.64E-06,1134890,10,19,1.67E-06,10,20816,10,21,432,453,10,21347
1134890,1134890,5975248,4.64E-06,1134890,10,29138,0.00256747,81,20739,81,24,434,458,81,21389
1134890,1134890,5975248,4.64E-06,1134890,10,411394,0.03624968,284,23107,284,36,437,473,284,21913
1134890,1134890,5975248,4.64E-06,1134890,10,1925327,0.16964878,502,30900,826,56,446,502,502,23391
1134890,1134890,5975248,4.64E-06,1134890,50,50,8.80E-07,5,20308,5,71,1890,1961,5,21337
1134890,1134890,5975248,4.64E-06,1134890,50,223,3.93E-06,27,21217,27,112,1845,1957,27,21337
1134890,1134890,5975248,4.64E-06,1134890,50,151632,0.00267219,283,21793,283,83,1866,1949,283,21459
1134890,1134890,5975248,4.64E-06,1134890,50,2666604,0.04699317,1981,29326,1981,121,2204,2325,1981,23410
1134890,1134890,5975248,4.64E-06,1134890,50,16845840,0.29687177,2358,50377,4904,517,1841,2358,2358,27850
1134890,1134890,5975248,4.64E-06,1134890,100,100,8.80E-07,6,20011,6,135,3644,3779,6,21325
1134890,1134890,5975248,4.64E-06,1134890,100,760,6.70E-06,35,22047,35,136,3872,4008,35,21325
1134890,1134890,5975248,4.64E-06,1134890,100,304950,0.00268704,594,21282,594,149,3796,3945,594,21546
1134890,1134890,5975248,4.64E-06,1134890,100,5724596,0.05044186,4009,35349,4009,215,8972,9187,4009,25153
1134890,1134890,5975248,4.64E-06,1134890,100,35270230,0.31078104,4056,70225,10697,432,3624,4056,4056,30143
1134890,1134890,5975248,4.64E-06,1134890,500,500,8.80E-07,7,21590,7,1990,20007,21997,7,21229
1134890,1134890,5975248,4.64E-06,1134890,500,4059,7.15E-06,72,23063,72,2494,20380,22874,72,21231
1134890,1134890,5975248,4.64E-06,1134890,500,1195949,0.0021076,2133,25809,2133,2152,19858,22010,2133,22014
1134890,1134890,5975248,4.64E-06,1134890,500,24487779,0.04315445,33641,70796,33641,17973,18477,36450,33641,29961
1134890,1134890,5975248,4.64E-06,1134890,500,163448270,0.28804249,51817,217744,51817,81287,18597,99884,99884,69274
1134890,1134890,5975248,4.64E-06,1134890,1000,1000,8.80E-07,8,21058,8,4598,40262,44860,8,21109
1134890,1134890,5975248,4.64E-06,1134890,1000,4937,4.35E-06,110,20496,110,4931,43931,48862,110,21112
1134890,1134890,5975248,4.64E-06,1134890,1000,2272572,0.00200246,4393,29996,4393,5056,39686,44742,4393,22570
1134890,1134890,5975248,4.64E-06,1134890,1000,46092618,0.04061417,40740,123304,40740,4637,40349,44986,40740,41702
1134890,1134890,5975248,4.64E-06,1134890,1000,322380955,0.28406361,103015,280328,103015,176584,39548,216132,216132,125971
3072441,3072441,234370166,2.48E-05,3072441,10,10,3.30E-07,8,274576,8,42,11740,11782,8,85723
3072441,3072441,234370166,2.48E-05,3072441,10,760,2.47E-05,27,292839,27,43,12417,12460,27,85723
3072441,3072441,234370166,2.48E-05,3072441,10,65625,0.00213592,606,322363,606,51,11961,12012,606,85769
3072441,3072441,234370166,2.48E-05,3072441,10,4229616,0.13766305,11264,269174,11799,103,11161,11264,11264,88643
3072441,3072441,234370166,2.48E-05,3072441,50,50,3.30E-07,9,289036,9,181,57412,57593,9,85715
3072441,3072441,234370166,2.48E-05,3072441,50,3751,2.44E-05,112,294678,112,180,57427,57607,112,85718
3072441,3072441,234370166,2.48E-05,3072441,50,837248,0.00545005,6089,329104,6089,211,59541,59752,6089,86198
3072441,3072441,234370166,2.48E-05,3072441,50,28475682,0.18536195,60065,285789,72029,1330,58735,60065,60065,125933
3072441,3072441,234370166,2.48E-05,3072441,100,100,3.30E-07,10,293810,10,348,115529,115877,10,85707
3072441,3072441,234370166,2.48E-05,3072441,100,9258,3.01E-05,245,300390,245,1031,116700,117731,245,85712
3072441,3072441,234370166,2.48E-05,3072441,100,2030333,0.00660821,14679,357920,14679,402,237854,238256,14679,86832
3072441,3072441,234370166,2.48E-05,3072441,100,57774139,0.18803986,122798,270616,146587,894,121904,122798,122798,173859
3072441,3072441,234370166,2.48E-05,3072441,500,500,3.30E-07,15,287783,15,6718,572494,579212,15,85636
3072441,3072441,234370166,2.48E-05,3072441,500,37913,2.47E-05,859,318611,859,6799,595526,602325,859,85656
3072441,3072441,234370166,2.48E-05,3072441,500,9138066,0.00594841,60819,729094,60819,6991,594624,601615,60819,90294